Processing 50 documents
Doc ID: 3f8df1546eb293635f233abe4f2de3b1, Score: 1.0
Doc ID: 086a84da6969a3a6a36037e5462a8772, Score: 1.0
Doc ID: ca82fee158cb45d5d0f9da1e7b6d3591, Score: 1.0
Doc ID: 23c90eb5e7378b09d6a5ff7e98b1181a, Score: 1.0
Doc ID: bc3ccf9a41daaed1e4ba6bbf959a916e, Score: 1.0
Doc ID: ae2b15aa541cb33fd4552fcbd07a9bc6, Score: 1.0
Doc ID: 8b68bb925eacde702779cf458c9852b5, Score: 1.0
Doc ID: fdc699594ffc53bc0e103556acbdbc9e, Score: 1.0
Doc ID: f6d798b824c3786e9a2c865fd2d1ee85, Score: 1.0
Doc ID: 5f79cc7304d8d9d521d386270e48fb91, Score: 1.0
Doc ID: 5cdcaa06b2b11c259cc1874033ced44d, Score: 1.0
Doc ID: bbc27c0ecd01bd200dc47e2aca5b2f32, Score: 1.0
Doc ID: c98420fe09aa308bfc96e42c0e401917, Score: 1.0
Doc ID: 6f6aa2428397d108750b2f7a58b75eef, Score: 1.0
Doc ID: 213479a6ba095fc903aa7ec187a4f9fc, Score: 1.0
Doc ID: 4b0c5d79df50d423b177d06afc9e9b0b, Score: 1.0
Doc ID: c7e1413894b277dabd3826a6e53eca9a, Score: 1.0
Doc ID: 19d8f917f3f8dbfcfb06ac0c18e9eaeb, Score: 1.0
Doc ID: c7d08cdea229ec1cbe1778d909c83743, Score: 1.0
Doc ID: 05b34ac8bb1ce5b3e162afa0c058605a, Score: 1.0
Doc ID: e4053b046e11d47c2fa03caf78cf6b79, Score: 1.0
Doc ID: babc5368520dca4fd161850c8fc9647a, Score: 1.0
Doc ID: cda0910ee3e392982bd415876729d589, Score: 1.0
Doc ID: 353bb75c952c53bf1869b31adeb3b34b, Score: 1.0
Doc ID: 88a10b2770355434916a125f9f80acdc, Score: 1.0
Doc ID: 50b0641e411e677ea42549e373bcbb3a, Score: 1.0
Doc ID: ad0fe99fc750d70adae4706bbf2338cd, Score: 1.0
Doc ID: 5e02e31c0d6838bf49e86cb509a8839f, Score: 1.0
Doc ID: 23820aa3ccdabbf9e3000212885aced6, Score: 1.0
Doc ID: 04b6babcf61a3620d042564de3d852ff, Score: 1.0
Doc ID: cf217a50e9185f665206fd9d7b7fc284, Score: 1.0
Doc ID: 5cc9386e11c0bb59ee0d995b54887ba6, Score: 1.0
Doc ID: 56811684f9ca224d2255993d50458d0b, Score: 1.0
Doc ID: 7ee8c697ac739ae1f7fd9aa36667d5e5, Score: 1.0
Doc ID: ad192281ac0f9d865758d0d0eb62813e, Score: 1.0
Doc ID: 34a0a55778e3fcdca2fe6cb15f402233, Score: 1.0
Doc ID: ae62261f8986c8ba43e220fdccff6ac4, Score: 1.0
Doc ID: c76024db87ae62c46252b26a9ffd85d5, Score: 1.0
Doc ID: c39cbb90f1fda31ba82f1b6138377d4d, Score: 1.0
Doc ID: 38502b5e5debee8565758609ec6870b8, Score: 1.0
Doc ID: c81c362dadb3a5285778173f3e55f31d, Score: 1.0
Doc ID: 17e6f990aecd030a21717929451f8ca5, Score: 1.0
Doc ID: 75e69a966f1135ecee64be3d9f59bb81, Score: 1.0
Doc ID: 205dfd7a5db50efd561e2ab572971e6d, Score: 1.0
Doc ID: 48c9069819079140e7ec6b42c72ff288, Score: 1.0
Doc ID: c6369eb472dbbdba1b668214ac311e56, Score: 1.0
Doc ID: e4043a98bd8b19f5820073dc151fa2b9, Score: 1.0
Doc ID: 35d44c67b987ddd8b8066eb74c6c68f5, Score: 1.0
Doc ID: b547a24686853333c459b52e6428d2b1, Score: 1.0
Doc ID: 3e2639c9007d8d6b915eda01092a960d, Score: 1.0
